Step,ObjectName,Description,Action,Input,Condition,Reference
1,Browser,Open the Url [<Data>] in the Browser,Open,@https://www.ing.com/web/show,,
2,Browser,Wait for [<Data>] milli seconds,pause,@5000,,
3,Accept Cookies,"Click the [<Object>] ",ClickIfVisible,,,Contactus
4,[Contact Us] Button,"Click the [<Object>] ",Click,,,Contactus
